id,passage
1445915,"The effects of different DNA sequences on the photoreaction of various 
furocoumarin derivatives was investigated from a quantitative point of view 
using a number of self-complementary oligonucleotides. These contained 5'-TA and 
5'-AT residues, having various flanking sequences. The furocoumarins included 
classical bifunctional derivatives, such as 8-methoxy- and 5-methoxypsoralen, as 
well as monofunctional compounds, such as angelicin and benzopsoralen. Taking 
into an account the thermodynamic constant for noncovalent binding of each 
psoralen to each DNA sequence, the rate constants for the photobinding process 
to each fragment were evaluated. The extent of photoreaction is greatly affected 
by the DNA sequence examined. While sequences of the type 5'-(GTAC)n are quite 
reactive towards all furocoumarins, 5'-TATA exhibited a reduced rate of 
photobinding using monofunctional psoralens. In addition terminal 5'-TA groups 
were the least reactive with 5- and 8-methoxypsoralen, but not with angelicin or 
benzopsoralen. Also 5'-AT-containing fragments exhibited remarkably variable 
responses toward monofunctional or bifunctional psoralen derivatives. As a 
general trend the photoreactivity rate of the former is less sequence-sensitive, 
the ratio between maximum and minimum being less than 2 for the examined 
fragments. The same ratio is about 3.4 for 8-methoxypsoralen and 6.2 for 
5-methoxypsoralen. This approach, in combination with footprinting studies, 
appears to be quite useful for a quantitative investigation of the process of 
covalent binding of psoralens to specific sites in DNA."
1448101,"Potential DNA replication accessory factors from the yeast Saccharomyces 
cerevisiae have previously been identified by their ability to bind to DNA 
polymerase alpha protein affinity matrices (J. Miles and T. Formosa, Proc. Natl. 
Acad. Sci. USA 89:1276-1280, 1992). We have now used genetic methods to 
characterize the gene encoding one of these DNA polymerase alpha-binding 
proteins (POB1) to determine whether it plays a role in DNA replication in vivo. 
We find that yeast cells lacking POB1 are viable but display a constellation of 
phenotypes indicating defective DNA metabolism. Populations of cells lacking 
POB1 accumulate abnormally high numbers of enlarged large-budded cells with a 
single nucleus at the neck of the bud. The average DNA content in a population 
of cells lacking POB1 is shifted toward the G2 value. These two phenotypes 
indicate that while the bulk of DNA replication is completed without POB1, 
mitosis is delayed. Deleting POB1 also causes elevated levels of both chromosome 
loss and genetic recombination, enhances the temperature sensitivity of cells 
with mutant DNA polymerase alpha genes, causes increased sensitivity to UV 
radiation in cells lacking a functional RAD9 checkpoint gene, and causes an 
increased probability of death in cells carrying a mutation in the MEC1 
checkpoint gene. The sequence of the POB1 gene indicates that it is identical to 
the CTF4 (CHL15) gene identified previously in screens for mutations that 
diminish the fidelity of chromosome transmission. These phenotypes are 
consistent with defective DNA metabolism in cells lacking POB1 and strongly 
suggest that this DNA polymerase alpha-binding protein plays a role in 
accurately duplicating the genome in vivo."
1448671,"The clinical and electrophysiological data of 18 consecutive adult patients with 
paraneoplastic Lambert-Eaton myasthenic syndrome (LMES) have been reviewed. The 
cancer associated with LEMS was small-cell lung carcinoma (SCLC) in 15 cases and 
epidermoid lung carcinoma in 3 cases. The main clinical neurological features 
were proximal lower limb weakness (100%), depressed tendon reflexes (94%) and 
dryness of the mouth (66%). The results of repetitive nerve stimulation (RNS) 
were not statistically different in the paraneoplastic LEMS group and in a group 
of 6 LMS patients in whom no carcinoma had been detected. Low-amplitude compound 
muscle action potential (CMAP) was present in all cases; decremental response at 
low stimulation rates was present in 13/15 cases. An abnormal incremental 
response at high stimulation rates was observed in all cases. A close 
correlation between CMAP amplitude and clinical condition was found in 4 cases 
during the long-term follow-up. In one patient the RNS electrical pattern could 
be misinterpreted as myasthenia gravis in only one muscle tested. We underline 
the usefulness of a 50 Hz stimulation during 4 seconds to establish the 
diagnosis unequivocally, and that of post-exercise facilitation in routine 
detection among an SCLC population. Our results suggest that CAMP amplitude and 
RNS test could be used to evaluate the short-term improvement of LMS under 
treatment and, in some cases, for the long-term follow-up. The infraclinical 
axonal neuropathy detected in 8 patients probably was another associated 
autoimmune paraneoplastic complication."
1449438,"Mitral Valve Prolapse (MVP) is usually a variant of normal occurring in about 4% 
of the population. Complications are relatively uncommon, but false associations 
due to ascertainment bias have had a potential for iatrogenic harm. Adverse 
outcomes which do occur in a subset of MVP subjects are considered here in 
relation to the contributions of genes, gender and geometry. There are definite 
associations between MVP and several dominantly inherited connective tissue 
abnormalities; it occurs in 85% of adults with Marfan syndrome. All these 
contribute to a very small proportion of the MVP population. A larger less 
easily characterised group with dominant inheritance and some features of a 
connective tissue disorder awaits DNA studies for identification. For most MVP 
subjects our data define significant family aggregation consistent with 
polygenic inheritance; the likelihood of a first degree relative having MVP is 
about two and a half times the population average. There is a higher prevalence 
in young women than in men-5% versus 3%; this has also been demonstrated for 
floppy mitral valve (MV) at autopsy. MVP complications of chordal rupture, 
severe mitral regurgitation and infective endocarditis are, however, two to 
three times more common in men, are age related and evident after the age of 50 
years. Higher blood pressure in men may contribute to this in accordance with a 
response-to-injury hypothesis to explain progressive valve changes. Leaflet, 
annulus and left ventricular size differences and septal changes are geometric 
variants with a potential for increasing tension-related valve injury.(ABSTRACT 
TRUNCATED AT 250 WORDS)"
1449769,"Leber hereditary optic neuropathy (LHON) presents with sudden onset of visual 
loss mainly in young adult males. LHON is not uncommon in Australia, accounting 
for 2% of invalid blind pensions. We have identified 20 unrelated families 
carrying mitochondrial DNA mutations associated with LHON and 135 of 291 
individuals with documented LHON are currently alive in Australia. The mean age 
of onset of visual loss for males was 26 years and for females 27 years, with a 
range from six to 65 years. The mean risk of visual loss was 20% for males and 
4% for females. There are over 1750 male and female carriers living in Australia 
who have not yet lost vision; 600 carriers are under 24 years of age. The 
expected number of new cases of blindness from LHON is three to four per year."
1449838,"The relation between the results of 7 biological markers (cells, total protein, 
albumin, IgG, IgG ratio, Tibbling ratio, and Tourtellotte's formula) and 4 
paraclinical tests (PEV, PEATC, CT and MR) in 236 patients with multiple 
sclerosis (MS) not selected by the localization of symptoms were studied. One 
hundred forty-one had clinically defined MS, 22 had defined MS supported by a 
laboratory and 68 had clinically probable MS. The existence of a relation 
between PEV and MRI abnormality and the increase in the concentration and the 
ratios of intrathecal IgG synthesis and the degree of certainty of disease 
diagnosis was demonstrated. The most sensitive test was MRI (93%) followed by 
VEP (83%) and BAEP (60%) and the sensitivity of the study with high resolution 
CT including 59 patients explored by double enhancement and delayed cut off was 
very low (33%). It was considered that for the lack of a specific diagnostic 
test the use of biological markers PEV and MR constituted a necessary aid in the 
diagnosis of MS."
1450882,"Sudden death in athletes is a rare but tragic occurrence. Congenital 
cardiovascular abnormalities, usually asymptomatic and often undiagnosed during 
life, are the main causes in young athletes. Hypertrophic cardiomyopathy and 
congenital coronary anomalies are the most commonly occurring disorders. 
Idiopathic concentric left ventricular hypertrophy (non-physiological), 
arrhythmogenic right ventricular dysplasia and Marfan's syndrome with aortic 
rupture have also been implicated. Rarer causes include mitral valve prolapse 
and myocarditis. Coronary atherosclerosis is the major cause in older, and 
occasionally in younger athletes. Those involved in the medical care of athletes 
should be aware of the potential causes of sudden death in these groups. 
Symptomatic athletes should be fully investigated. Screening programmes are 
probably not justified on a cost effective basis."
1455234,"The amount of the heterotrimeric G protein subunit G alpha i2 decreases after 
the induction of F9 teratocarcinoma cells to become primitive endoderm in the 
presence of retinoic acid (RA). The reduction of the G alpha i2 protein in F9 
cells by antisense RNA expression was associated with (i) loss of 
receptor-mediated inhibition of adenylyl cyclase; (ii) decreased cell doubling 
time; (iii) induction of a primitive, endoderm-like phenotype in the absence of 
RA; and (iv) production of the differentiation marker tissue-type plasminogen 
activator. Expression of a constitutively active, mutant G alpha i2 blocked 
RA-induced differentiation. These data suggest the involvement of G alpha i2 in 
the control of stem cell differentiation and provide insight into the 
involvement of G proteins in growth regulation."
1456297,"We report on a boy with short stature, mental retardation, seizures, follicular 
ichthyosis, generalized alopecia, hypohydrosis, enamel dysplasia, photophobia, 
congenital aganglionic megacolon, inguinal hernia, vertebral, renal and other 
anomalies, and a normal chromosome constitution. The clinical findings include 
all the features that dermotrichic and ichthyosis 
follicularis-alopecia-photophobia (IFAP) syndrome have in common and in addition 
those that characterize IFAP syndrome (photophobia, recurrent respiratory 
infections, etc.), those that are present only in dermotrichic syndrome (nail 
anomalies, hypohydrosis, megacolon, vertebral defects, etc.) and additional ones 
(enamel dysplasia, renal anomalies, inguinal hernia, etc.). Two maternal uncles 
were referred as being affected by alopecia and ichthyosis suggesting X-linked 
recessive transmission. Various hypotheses concerning the relationship between 
the 2 syndromes and the present case are discussed."
1459383,"A total of 110 women who had reported urinary incontinence to their general 
practitioners were randomly assigned to a treatment or control group. Treatment 
consisted of pelvic floor exercises in the case of stress incontinence and 
bladder training in the case of urge incontinence. The results were measured 
after 3 and 12 months by a research assistant on the basis of a constructed 
severity scale, an incontinence diary, and a comparison by the patients 
themselves of their previous and current conditions. After 3 months the control 
group were given the same treatment. After a further 3 and 12 months, they were 
assessed in exactly the same way as the treatment group. After 3 months about 
60% of the patients were either dry or only mildly incontinent; the mean number 
of wet episodes had gone down from 20 to 7, and 74% of the women felt improved 
or cured. These results were later corroborated by the control group. After 12 
months this successful outcome was improved slightly further. It may be 
concluded that the majority of women with incontinence can be successfully 
treated by the general practitioner. The effect of this treatment continues 
after one year."
1464550,"For the first time Bernhard Marfan described the Marfan-Syndrome in 1896; it is 
a meso- and ectodermed variety with the conducting symptom of ""arachnodactyly"". 
Marfan-Syndrome is an autosomal dominant hereditary disorder with high 
penetrance and variable expressivity. In our opinion this case of a 41-year-old 
patient with kidney cysts and aneurysma dissecans of the arteria ascendens by 
Marfan-Syndrome was described in the literature only twice. The casuistics of 
this Marfan-Syndrome patient shows a particular rare associated 
organ-change--the kidney cysts--and illustrate the frequency of this hereditary 
disease."
1465304,"An external fixator has been designed that is rigid enough to eliminate the need 
for skeletal traction in patients with unstable pelvic-ring fractures. This 
Wichita frame is similar to the Pittsburgh frame but is stiffened by the use of 
locked crossbars connecting the side triangles. The frame was tested in 
cadaveric specimens by techniques previously reported. In addition, 
finite-element modeling of the various frame designs was performed to ensure 
that the frame configuration was optimal and to supplement in vitro test 
results. Multiple variables that can influence frame failure loads were 
examined."
1467651,"We have identified a mutant of pea cultivar Alaska that has many of the 
characteristics normally associated with light-grown seedlings even when grown 
in complete darkness. We have designated this mutant lip1, for light independent 
photomorphogenesis. Etiolated wild-type pea seedlings are white to slightly 
yellow in color and have a distinct morphology characterized by elongated 
epicotyls and buds containing unexpanded leaves with small, undifferentiated 
cells. In contrast, mutant seedlings grown under the same conditions are yellow 
in color and have short epicotyls and expanded leaves showing clear cellular 
differentiation. Transmission electron microscopy revealed partially developed, 
agranal plastids in the dark-grown mutant, unlike wild-type seedlings that 
contain etioplasts with prolamellar bodies. The mutant also exhibits a much 
shorter lag period for chlorophyll accumulation when etiolated seedlings are 
transferred from darkness to white light. The dark-grown mutant has 10-fold less 
spectrally detectable phytochrome, which can be attributed to a 10-fold 
reduction in the level of the PHYA polypeptide. Cab, Fed1, and RbcS transcripts 
are present in dark-grown mutant seedlings at levels comparable to those 
produced in light-grown material. The levels of these transcripts show a normal 
decrease when green plants grown for 15 days in a light/dark cycle are 
transferred to continuous darkness. However, transcript levels remain high 
during dark treatment of seedlings grown for 9 days in continuous light, 
indicating that the dark adaptation response in this mutant is developmentally 
plastic. The lip1 mutant has several features in common with the deetiolated 
Arabidopsis mutants det1, det2, and cop1. However, there are also several 
important differences, including varying effects on phytochrome levels, 
organ-specific gene expression, plastid development, and response to dark 
adaptation."
1468866,"Two hundred and ninety cases of subacute sclerosing panencephalitis (SSPE) 
registered in England and Wales from 1970 to 1989 were followed at 6-monthly 
intervals. Male to female ratio was 2.8:1. Age at onset increased significantly 
over the period. Measles was recorded for 81% of cases; in nearly half this had 
occurred under 2 years. Measles vaccine was documented in 20 cases; in 10 
measles was also documented and it could not be positively excluded in the 
remainder. The calculated risk of SSPE following measles was 4.0/100,000 cases 
compared with the risk after vaccine of 0.14/100,000 doses. Measles under 1 year 
carried a risk 16 times greater than measles over 5 years. There was an excess 
of cases in third and subsequent children. The incidence was higher in the 
northwest than in the southeast of the country. Survival time varied from 4 
weeks to 16 years and was shorter when measles had occurred over the mean age of 
2.5 years. Of the cases 9% had a history of mental retardation before the onset 
of SSPE. The incidence of SSPE has fallen following the reduction in measles 
resulting from vaccination. However, because of the median 8-year interval 
between measles and onset of SSPE, further cases arising from measles during the 
study period must still be expected, particularly in adolescents."
1469425,"We have studied effects of TRH analogue, TA-0910 
(3-methyl-(s)-5,6-dihydroorotyl-L-histidyl-L-prolinamide) (from Tanabe, Osaka, 
Japan) on explanted ventral and dorsal spinal cord cultures from 13- and 
14-day-old rat embryos. TA-0910-treated cultures had significantly increased 
neurite outgrowth with cultures of ventral spinal cord, but not with cultures of 
dorsal spinal cord. The effect was dose-dependent. A possible role for TRH in 
amyotrophic lateral sclerosis remains to be defined."
1470196,"Plasma and IgG obtained from 10 Lambert-Eaton myasthenic syndrome (LES) patients 
(5 with carcinoma, 5 without associated cancer), 6 healthy subjects, and 1 
patient with small-cell lung cancer (SCLC) were examined in their ability to 
recognize chromaffin cell antigens on Western blots. The pattern of antigen 
recognition was compared with the magnitude of inhibition of voltage-dependent 
calcium and sodium currents recorded with the patch-clamp technique from 
chromaffin cells. Eight of the 11 patients with LES and/or SCLC recognized 
plasma membrane proteins and 9 of the patients' IgG interacted with cytoplasmic 
antigens with no apparent pattern of antigen recognition between patients. Also, 
there was no obvious band pattern distinguishing patients with LES from those 
with LES and concurrent SCLC. Eighty percent of the LES patients' antibodies 
were capable of reducing the calcium current (ICa) in chromaffin cells. One of 
the novel findings of this study is that 30% of the patients had produced 
antibodies which were able to inhibit both calcium and sodium currents (INa). 
The heterogeneous response of the IgG on the Western blots does not appear to 
correlate with the efficacy of reducing the inward currents."
1470299,"Addition of the aromatic amino acid decarboxylase inhibitor, NSD-1015 (10 
microM), to Krebs'-Ringer phosphate (KRP) superfusion medium, significantly 
increased the release of dopamine in vitro from superfused corpus striatum 
tissue fragments of male rats. A dose-dependent increase in release of dopamine 
was obtained in response to increasing concentrations of NSD-1015, with 1.0 
microM being the minimally effective dose. In addition to the striatum, NSD-1015 
also increased the release of dopamine from superfused hypothalamic tissue 
fragments. This capacity of NSD-1015 to increase release of dopamine was 
calcium-independent, appeared to be somewhat specific and could apparently 
increase the release of dopamine in vivo, as indicated by increases in the 
release of the metabolite of dopamine, DOPAC, under conditions of push-pull 
perfusion. Although the putative role of NSD-1015 is as an aromatic amino acid 
decarboxylase inhibitor, the present results demonstrate that, either as a 
result of this function and/or in addition to this role, NSD-1015 is a potent 
activator of the release of dopamine."
1470965,"Drug and alcohol abuse continue to be commonly encountered problems in most 
patient populations. To deal effectively with these problems, the primary care 
physician must have a thorough knowledge of the pharmacology of commonly abused 
drugs and the adjunctive agents used in treatment. Management of alcoholism may 
involve a range of medical interventions, including the treatment of alcohol 
intoxication, the use of benzodiazepines for alcohol withdrawal, and possibly 
the short-term administration of disulfiram to maintain sobriety. Successful 
management of cocaine or amphetamine abuse requires an understanding of the 
powerful reinforcing properties of these drugs and the unique problems that 
arise in the recovery period. Barbiturate intoxication and withdrawal are 
potentially life-threatening events requiring skilled in-patient treatment. 
Prolonged use of benzodiazepines can lead to drug dependence; successful 
withdrawal involves gradual dosage reduction. Acute intoxication from marijuana 
or hallucinogenic drugs may occasionally result in adverse reactions requiring 
medical intervention, but significant withdrawal reactions are rare. Management 
of opioid overdose, whether illicit or iatrogenic, requires the prompt and 
skillful use of opioid overdose, whether illicit or iatrogenic, requires the 
prompt and skillful use of opioid antagonists. Promising new pharmacologic 
approaches are now being successfully applied to the management of opioid 
dependence. An acceptance of nicotine as the addictive component of tobacco 
smoke has led to the development of nicotine gum as substitution therapy for 
cigarette smoking. Successful pharmacologic management of overdose or withdrawal 
is often the prerequisite for effective long-term treatment and recovery."
1471661,"OBJECTIVE: Our objective was to categorize the histologic findings in the liver 
in patients with HELLP syndrome (hemolysis, elevated liver enzymes, and low 
platelet count) and to correlate these findings with the severity of clinical 
laboratory abnormalities.
STUDY DESIGN: Eleven patients with laboratory criteria for HELLP syndrome who 
required cesarean delivery underwent needle biopsy of the liver under direct 
visualization.
RESULTS: Eight patients had periportal hemorrhage, and six had fibrin 
deposition. Fatty infiltration was seen in four, one with large-droplet fat, 
three with microvesicular fat. There was no statistically significant 
correlation between the severity of the histologic findings of periportal 
hemorrhage and fibrin deposition and the clinical laboratory findings. Fatty 
infiltration did not correlate with the severity of the HELLP syndrome's 
histologic condition, but, in contrast, did correlate with thrombocytopenia and 
aminotransferase elevations.
CONCLUSIONS: Laboratory abnormalities do not accurately reflect the severity of 
the underlying histopathologic condition in HELLP syndrome. We propose that all 
patients with HELLP syndrome, regardless of the degree of their laboratory 
abnormalities, be treated aggressively, primarily with delivery."
1473624,"Isotretinoin is a potent retinoic acid used in the treatment of skin disorders. 
Though very effective, it is teratogenic if administered during pregnancy, and 
its teratogenic effect may be related to the normal activity of retinoids as 
signalling molecules in the embryo. Although its exact mechanism of action is 
unknown, it has been suggested that it causes its characteristic pattern of 
defects that includes heart defects, by inhibiting the migration of neural crest 
cells. However, other effects on cells are known. We studied early cardiac cell 
proliferation using incorporation of bromodeoxyuridine (BrdU) and detection with 
a monoclonal anti-BrdU. Proliferation in heart tissue of whole embryo cultures 
was inhibited in medium with 10(-6) M isotretinoin to 62% of the control level 
in myocardium. We studied its effects in culture on precardiac explant 
development in the absence of the neural crests. Culture of precardiac 
mesodermal-endodermal explants revealed that development of heart vesicles from 
the mesoderm was little affected, but the development of heartbeat was inhibited 
depending on dose in the 10(-5) to 10(-7) M range. The effect on development of 
contractions was augmented in the presence of serum; it could be duplicated by 
all-trans-retinoic acid, and it was reversible. Synthesis of the alpha-actin 
isotype, analyzed by isoelectric focusing, was found to be inhibited or delayed. 
The results suggest multiple effects of retinoids on growth, morphogenesis, and 
differentiation of early cardiac tissue, and are discussed in relation to the 
potential role of retinoids in early embryogenesis."
1474300,"Over the past two decades, anxiety disorders have become the focus of much 
research after years of relative obscurity. The accumulating data has suggested 
that anxiety disorders may have many consequences including decreased quality of 
life, economic dependence, multiple somatic complaints, maladaptive personality 
traits, and increased mortality due to suicide, cardiovascular, and 
cerebrovascular causes. Aggressive management of these disorders may greatly 
lessen the impact."
1474844,"Several species of Plasmodium have been shown to contain a circular 
extrachromosomal DNA molecule which is widely supposed to be mitochondrial DNA. 
However, it has recently been shown to have a number of features in common with 
chloroplast DNA. Here, a phylogenetic analysis of RNA polymerase coding 
sequences from the Plasmodium molecule has been carried out using distance 
matrix, maximum likelihood, parsimony and operator invariant methods. The 
analysis indicates that the molecule is in fact derived from an oxygenic 
photosynthetic organism and should be regarded as plastid DNA. This suggests 
that Plasmodium originated from a phototroph that has lost the capacity to 
photosynthesize."
1475128,"Pelvic girdle injuries leading to anterior and posterior disruption are rarely 
seen in children. External fixation is useful to reduce and stabilize the pelvis 
in order to control massive blood loss due to severe venous bleeding. The 
anterior tension band element of the external fixator can successfully maintain 
reduction of the pelvic girdle. Dislocation or fracture dislocation of the 
sacroiliacal joint cannot be reduced with simple traction techniques. Leg length 
discrepancy is to be expected when the hemipelvis is displaced. Seven cases of 
this rare injury in children are presented together with the late outcome. 
Treatment modalities are discussed."
1475854,"It has been shown elsewhere that the epidermal growth factor (EGF) in A431 cells 
can recycle in receptor-bound state (Teslenko et al., 1987; Sorkin et al., 1989, 
1991). Present study deals with the action of primaquine, a lysosomotropic 
agent, on EGF-receptor complexes (EGF-RC). By the method of indirect 
immunofluorescence with anti-EGF-R monoclonal antibody it is found that 
following a 1 h incubation of cells at 37 degrees C in the presence of EGF a 
bright staining of endosomes appears in the intranuclear region, while after 
incubation of the cells at 4 degrees only margins of cells are stained. Such a 
pattern of fluorescence is peculiar of endocytosis in A431 cells. When the cells 
were incubated in the presence of a 0.3 mM primaquine for 1 h, the 
immunostaining is changed: bright compact spot in the para-Golgi region 
appeared. The effect of primaquine is reversible. When the cells after 
preincubation with EGF were incubated in the absence of EGF for 3 h at 37 
degrees C, the staining of cell margins could be observed again, demonstrating 
the recycling of EGF-RC. Under similar conditions of cell incubation, but in the 
presence of primaquine, the staining of the para-Golgi region was not changed. 
In the experiments with 125I-EGF it was shown that intracellular accumulations 
of 125I-EGF were maintained when the cells were incubated in the presence of 0.3 
mM primaquine. It is concluded that primaquine inhibits the recycling of EGF-R 
in A431 cells."
1478653,"The human dopamine transporter (DAT1) gene is localized to chromosome 5p15.3 by 
in situ hybridization and PCR amplification of rodent somatic cell hybrid DNA. 
Analysis of a 40-bp repeat in the 3' untranslated region of the message revealed 
variable numbers of the repeat ranging from 3 to 11 copies. These results will 
aid in the investigation of a role for this gene in genetic disorders of the 
dopaminergic system in humans."
1478673,"We characterized 21 t(13;14) and 3 t(14;21) Robertsonian translocations for the 
presence of DNA derived from the short arms of the translocated acrocentric 
chromosomes and identified their centromeres. Nineteen of these 24 translocation 
carriers were unrelated. Using centromeric alpha-repeat DNA as 
chromosome-specific probe, we found by in situ hybridization that all 24 
translocation chromosomes were dicentric. The chromatin between the two 
centomeres did not stain with silver, and no hybridization signal was detected 
with probes for rDNA or beta-satellite DNA that flank the distal and proximal 
ends of the rDNA region on the short arm of the acrocentrics. By contrast, all 
24 translocation chromosomes gave a distinct hybridization signal when satellite 
III DNA was used as probe. This result strongly suggests that the chromosomal 
rearrangements leading to Robertsonian translocations occur preferentially in 
satellite III DNA. We hypothesize that guanine-rich satellite III repeats may 
promote chromosomal recombination by formation of tetraplex structures. The 
findings localize satellite III DNA to the short arm of the acrocentric 
chromosomes distal to centromeric alpha-repeat DNA and proximal to 
beta-satellite DNA."
1479601,"The existence of locus heterogeneity for a genetic disease may complicate 
linkage studies considerably, especially when very few large families with the 
disease are available. In this situation a modest collection of families is 
unlikely to be sufficient for successful localisation of one or more disease 
genes. Recently, eight research groups working on tuberous sclerosis (TSC) 
brought together linkage data pertaining to the candidate chromosomes 9, 11, and 
12 for a large group of families. In a series of simulation studies we 
determined the probability of detecting linkage and linkage heterogeneity in 
this set of families. On average TSC families are very small; in most cases 
there are fewer than two informative meioses. The size distribution of 
chromosome 9 linked families was similar to that of non-linked families. This 
indicates that a dramatic difference in the clinical severity of major genetic 
forms of TSC is unlikely. The results of our simulation studies show that this 
set of families can generate highly significant evidence for linkage and 
heterogeneity. When two TSC genes are equally common, the strongest evidence for 
linkage and heterogeneity could be obtained using a method based on the 
incorporation of multiple candidate regions in a single analysis, with an 
average lod score of 24.27."
1480136,"Microsomes prepared from COS-1 cells transiently expressing rabbit cytochromes 
P450 2C1 and 2C2 catalyzed the metabolism of arachidonic acid to predominantly 
11,12- and 14,15-epoxyeicosatrienoic acids (EETs) when microsomal epoxide 
hydrolase activity was inhibited by 0.2 mM 1,2-epoxy-3,3,3-trichloropropane. 
P450 2C2 catalyzed the formation of 11,12-EET and 14,15-EET at a ratio of 3.0 
and also produced 19-hydroxyeicosatetraenoic acid (19-HETE). The 11,12-EET, 
14,15-EET, and 19-HETE represented 48.3, 15.9, and 12.8%, respectively, of the 
total metabolites formed. P450 2C1 produced a similar but distinct ratio of 
11,12-EET to 14,15-EET (2.0) and did not produce any detectable 19-HETE. The 
11,12-EET and 14,15-EET represented 63.0 and 31.1%, respectively, of the total 
metabolites formed. The 8,9- and 5,6-EETs were not detected with either enzyme. 
The ratio of the 11,12-EET to 14,15-EET was 1.5 with P450 2CAA, a P450 
arachidonic acid epoxygenase (P450 2CAA) that had an amino-terminal sequence 
identical to that of P450 2C2 [J. Biol. Chem. 267:5552-5559 (1992)]. P450 2C1, 
2C2, and 2CAA metabolized lauric acid. The ratio of omega-1- to 
omega-hydroxylated laurate was 3.6, 3.4, and 2.4 for P450 2CAA, P450 2C2, and 
P450 2C1, respectively. Purified P450 2CAA had a slightly greater apparent 
molecular weight than expressed P450 2C2 on sodium dodecyl 
sulfate-polyacrylamide gels. The results clearly establish that rabbit P450 2C1 
and 2C2 are arachidonic acid epoxygenases, and they suggest that P450 2CAA and 
2C2 are very similar but may not be identical isoforms."
1480396,"BACKGROUND: Heterochromia iridis, asymmetry of iris pigmentation, has been well 
described with congenital Horner syndrome. Acquired heterochromia associated 
with lesions in the ocular sympathetic pathways in adulthood, however, is rare.
METHODS: Two cases are reported in which sympathectomy in adults resulted in 
ipsilateral Horner syndrome with heterochromia. In each case, pharmacologic 
testing with cocaine and hydroxyamphetamine was performed.
RESULTS: In both cases, sympathectomy occurred at the level of the second order 
neuron, but hydroxyamphetamine testing suggested at least partial third order 
neuron involvement.
CONCLUSION: Acquired heterochromia can occur in adults. The partial response to 
hydroxyamphetamine in the two cases presented may reflect trans-synaptic 
degeneration of the postganglionic neuron. A reduction in trophic influences on 
iris melanocytes may have contributed to the observed heterochromia."
1481520,"A follow-up (1985, 1990, 1991) study revealed in female workers of hydroponic 
hothouses an increase of the incidence of nervous system diseases depending on 
the length of work (vegeto-vascular dystonia, angiodystonic syndromes, 
vegeto-sensory polyneuropathy). It is suggested that the main cause of nervous 
lesions in these cases was the complex effect of pesticides."
1481858,"We report the occurrence of Hunter disease (mucopolysaccharidosis type II) in a 
karyotypically normal girl who was one of identical twins. Molecular studies 
showed nonrandom X-inactivation in both her fibroblasts and lymphocytes, while 
her normal twin showed equal usage of both X chromosomes. In view of previous 
reports of 7 pairs of identical female twins in which one had Duchenne muscular 
dystrophy, it seems that twinning may be strongly associated with nonrandom 
X-inactivation, and is not specific to the properties of the disease causing 
gene."
1482192,"Nisin produced by Lactococcus lactis 6F3 is used as a food preservative and is 
the most important member of a group of peptide-antibiotics containing 
lanthionine bridges (lantibiotics) (N. Schnell, K.-D. Entian, U. Schneider, F. 
Götz, H. Zähner, R. Kellner, and G. Jung, Nature [London] 333:276-278, 1988). 
Nisin is ribosomally synthesized, and its structural gene, nisA, encodes a 
prepeptide that is posttranslationally modified, revealing the active 
lantibiotic (C. Kaletta and K.-D. Entian, J. Bacteriol. 171:1597-1601, 1989). 
Adjacent to nisA, the additional genes nisB, nisT, and nisC were identified. 
Over their entire sequences, these genes were homologous to genes recently 
identified as important for the biosynthesis of lantibiotics, that is, subtilin 
from Bacillus subtilis ATCC 6633 and epidermin from Staphylococcus epidermidis 
Tü 3298. Genes nisB, nisT, and nisC corresponded to open reading frames of 993, 
600, and 418 amino acid residues, respectively. The nisT open reading frame is 
homologous to proteins of the HlyB (hemolysin B protein of Escherichia coli) 
subfamily. Proteins of this subfamily are responsible for the secretion of a 
variety of compounds, including large polypeptides, polysaccharides, and 
anti-drug tumors, indicating that NisT may be involved in nisin transport. 
Northern (RNA) blot analysis revealed a 0.3-kb transcript for the nisA 
structural gene, and the transcriptional start point of the nisA gene was 
determined by primer extension. Additionally, a mRNA of at least 3 kb was 
identified by using a hybridization probe specific to nisB. Antibodies were 
raised against the NisB protein, and Western blot (immunoblot) analysis revealed 
a molecular weight of about 115 kDa, which is in accordance with the theoretical 
protein size of 117.5 kDa as calculated from the nisB open reading frame. 
Several amphipathic transmembrane alpha-helices indicated that NisB is 
associated with the membrane. This was confirmed by preparing L. lactis 
vesicles. The NisB protein was tightly associated with the vesicle fraction and 
was released by sodium dodecyl sulfate treatment only. These results suggest 
that NisB is membrane associated and that nisin biosynthesis occurs at the cell 
membrane."
